SEASON,TEAM_NAME,PLAYOFF_RANK,CONFERENCE
2001,Sacramento Kings,1,West
2001,Brooklyn Nets,1,East
2001,San Antonio Spurs,2,West
2001,Detroit Pistons,2,East
2001,Los Angeles Lakers,3,West
2001,Boston Celtics,3,East
2001,Dallas Mavericks,4,West
2001,Charlotte Hornets,4,East
2001,Minnesota Timberwolves,5,West
2001,Orlando Magic,5,East
2001,Portland Trail Blazers,6,West
2001,Philadelphia 76ers,6,East
2001,Toronto Raptors,7,East
2001,Oklahoma City Thunder,7,West
2001,Indiana Pacers,8,East
2001,Utah Jazz,8,West
2001,Los Angeles Clippers,9,West
2001,Milwaukee Bucks,9,East
2001,Phoenix Suns,10,West
2001,Washington Wizards,10,East
2001,Miami Heat,11,East
2001,Houston Rockets,11,West
2001,Denver Nuggets,12,West
2001,Atlanta Hawks,12,East
2001,Memphis Grizzlies,13,West
2001,New York Knicks,13,East
2001,Cleveland Cavaliers,14,East
2001,Golden State Warriors,14,West
2001,Chicago Bulls,15,East
2002,San Antonio Spurs,1,West
2002,Detroit Pistons,1,East
2002,Sacramento Kings,2,West
2002,Brooklyn Nets,2,East
2002,Indiana Pacers,3,East
2002,Dallas Mavericks,3,West
2002,Philadelphia 76ers,4,East
2002,Minnesota Timberwolves,4,West
2002,Charlotte Hornets,5,East
2002,Los Angeles Lakers,5,West
2002,Portland Trail Blazers,6,West
2002,Boston Celtics,6,East
2002,Utah Jazz,7,West
2002,Milwaukee Bucks,7,East
2002,Orlando Magic,8,East
2002,Phoenix Suns,8,West
2002,Houston Rockets,9,West
2002,Washington Wizards,9,East
2002,New York Knicks,10,East
2002,Oklahoma City Thunder,10,West
2002,Atlanta Hawks,11,East
2002,Golden State Warriors,11,West
2002,Chicago Bulls,12,East
2002,Memphis Grizzlies,12,West
2002,Los Angeles Clippers,13,West
2002,Miami Heat,13,East
2002,Denver Nuggets,14,West
2002,Toronto Raptors,14,East
2002,Cleveland Cavaliers,15,East
2003,Minnesota Timberwolves,1,West
2003,Indiana Pacers,1,East
2003,Los Angeles Lakers,2,West
2003,Brooklyn Nets,2,East
2003,San Antonio Spurs,3,West
2003,Detroit Pistons,3,East
2003,Miami Heat,4,East
2003,Sacramento Kings,4,West
2003,Dallas Mavericks,5,West
2003,Charlotte Hornets,5,East
2003,Memphis Grizzlies,6,West
2003,Milwaukee Bucks,6,East
2003,Houston Rockets,7,West
2003,New York Knicks,7,East
2003,Denver Nuggets,8,West
2003,Boston Celtics,8,East
2003,Cleveland Cavaliers,9,East
2003,Utah Jazz,9,West
2003,Portland Trail Blazers,10,West
2003,Toronto Raptors,10,East
2003,Golden State Warriors,11,West
2003,Philadelphia 76ers,11,East
2003,Oklahoma City Thunder,12,West
2003,Atlanta Hawks,12,East
2003,Phoenix Suns,13,West
2003,Washington Wizards,13,East
2003,Los Angeles Clippers,14,West
2003,Chicago Bulls,14,East
2003,Orlando Magic,15,East
2004,Miami Heat,1,East
2004,Phoenix Suns,1,West
2004,San Antonio Spurs,2,West
2004,Detroit Pistons,2,East
2004,Chicago Bulls,3,East
2004,Dallas Mavericks,3,West
2004,Boston Celtics,4,East
2004,Oklahoma City Thunder,4,West
2004,Houston Rockets,5,West
2004,Washington Wizards,5,East
2004,Indiana Pacers,6,East
2004,Sacramento Kings,6,West
2004,Denver Nuggets,7,West
2004,Philadelphia 76ers,7,East
2004,Brooklyn Nets,8,East
2004,Memphis Grizzlies,8,West
2004,Cleveland Cavaliers,9,East
2004,Minnesota Timberwolves,9,West
2004,Los Angeles Clippers,10,West
2004,Orlando Magic,10,East
2004,Los Angeles Lakers,11,West
2004,Toronto Raptors,11,East
2004,New York Knicks,12,East
2004,Golden State Warriors,12,West
2004,Milwaukee Bucks,13,East
2004,Portland Trail Blazers,13,West
2004,Utah Jazz,14,West
2004,Charlotte Hornets,14,East
2004,Atlanta Hawks,15,East
2004,Charlotte Hornets,15,West
2005,San Antonio Spurs,1,West
2005,Detroit Pistons,1,East
2005,Dallas Mavericks,2,West
2005,Miami Heat,2,East
2005,Cleveland Cavaliers,3,East
2005,Phoenix Suns,3,West
2005,Denver Nuggets,4,West
2005,Brooklyn Nets,4,East
2005,Memphis Grizzlies,5,West
2005,Washington Wizards,5,East
2005,Indiana Pacers,6,East
2005,Los Angeles Clippers,6,West
2005,Chicago Bulls,7,East
2005,Los Angeles Lakers,7,West
2005,Sacramento Kings,8,West
2005,Milwaukee Bucks,8,East
